# This file is automatically generated by the 'radon2config' program.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiAggregationId
# 2) FmiAggregationName
# 3) Description
#
1;INSTANT;No aggregation
2;MEAN;Mean over time period
3;ACCUMULATION;Accumulation over time period
4;MAX;Maximum over time period
5;MIN;Minimum over time period
6;RANGE;Range (maximum minus minimum) over time period
7;MEDIAN;Median value over time period
8;VAR;Variance over time period
9;STDE;Standard deviation over time period
10;MODE;Most common value over time period
11;INTENSITY;Peak intensity over time period
12;DOMINANCE;Dominant or prevailing value over time period
