# Parameter;Units;Alias1;Alias2;Alias3;
acoustic_signal_roundtrip_travel_time_in_sea_water;s;;;;
aerodynamic_particle_diameter;m;;;;
aerodynamic_resistance;m-1 s;;;;
age_of_sea_ice;year;;;;
age_of_stratospheric_air;s;;;;
age_of_surface_snow;day;;;;
aggregate_quality_flag;1;;;;
air_density;kg m-3;;;;
air_equivalent_potential_temperature;K;equivalent_potential_temperature;;;
air_equivalent_temperature;K;equivalent_temperature;;;
air_potential_temperature;K;;;;
air_pressure;Pa;;;;
air_pressure_anomaly;Pa;;;;
air_pressure_at_cloud_base;Pa;;;;
air_pressure_at_cloud_top;Pa;;;;
air_pressure_at_convective_cloud_base;Pa;;;;
air_pressure_at_convective_cloud_top;Pa;;;;
air_pressure_at_freezing_level;Pa;;;;
air_pressure_at_mean_sea_level;Pa;air_pressure_at_sea_level;;;
air_pressure_at_top_of_atmosphere_model;Pa;pseudo_equivalent_potential_temperature;;;
air_pseudo_equivalent_potential_temperature;K;;;;
air_pseudo_equivalent_temperature;K;pseudo_equivalent_temperature;;;
air_temperature;K;;;;
air_temperature_anomaly;K;;;;
air_temperature_at_cloud_top;K;;;;
air_temperature_at_effective_cloud_top_defined_by_infrared_radiation;K;;;;
air_temperature_lapse_rate;K m-1;;;;
air_temperature_threshold;K;;;;
altimeter_range;m;;;;
altimeter_range_correction_due_to_dry_troposphere;m;;;;
altimeter_range_correction_due_to_ionosphere;m;;;;
altimeter_range_correction_due_to_wet_troposphere;m;;;;
altitude;m;;;;
altitude_at_top_of_atmosphere_model;m;;;;
altitude_at_top_of_dry_convection;m;;;;
amplitude_of_global_average_sea_level_change;m;;;;
angle_of_emergence;degree;;;;
angle_of_incidence;degree;;;;
angle_of_rotation_from_east_to_x;degree;;;;
angle_of_rotation_from_east_to_y;degree;;;;
angle_of_rotation_from_solar_azimuth_to_platform_azimuth;degree;;;;
angstrom_exponent_of_ambient_aerosol_in_air;1;aerosol_angstrom_exponent;;;
apparent_air_temperature;K;;;;
apparent_oxygen_utilization;mol kg-1;;;;
area_fraction;1;;;;
area_fraction_below_surface;1;;;;
area_fraction_of_day_defined_by_solar_zenith_angle;1;;;;
area_fraction_of_night_defined_by_solar_zenith_angle;1;;;;
area_fraction_of_twilight_defined_by_solar_zenith_angle;1;;;;
area_type;;land_cover;surface_cover;;
asymmetry_factor_of_ambient_aerosol_particles;1;;;;
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles;1;atmosphere_absorption_optical_thickness_due_to_ambient_aerosol;;;
atmosphere_absorption_optical_thickness_due_to_black_carbon_ambient_aerosol;1;;;;
atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol_particles;1;atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol;;;
atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles;1;atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol;;;
atmosphere_absorption_optical_thickness_due_to_sea_salt_ambient_aerosol_particles;1;atmosphere_absorption_optical_thickness_due_to_seasalt_ambient_aerosol_particles;atmosphere_absorption_optical_thickness_due_to_seasalt_ambient_aerosol;;
atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles;1;atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol;;;
atmosphere_boundary_layer_thickness;m;;;;
atmosphere_convective_available_potential_energy;J kg-1;atmosphere_specific_convective_available_potential_energy;specific_convective_available_potential_energy;;
atmosphere_convective_available_potential_energy_wrt_surface;J kg -1;;;;
atmosphere_convective_inhibition;J kg -1;;;;
atmosphere_convective_inhibition_wrt_surface;J kg -1;;;;
atmosphere_downdraft_convective_mass_flux;kg m-2 s-1;;;;
atmosphere_dry_energy_content;J m-2;;;;
atmosphere_dry_static_energy_content;J m-2;;;;
atmosphere_eastward_stress_due_to_gravity_wave_drag;Pa;;;;
atmosphere_energy_content;J m-2;;;;
atmosphere_enthalpy_content;J m-2;;;;
atmosphere_heat_diffusivity;m2 s-1;;;;
atmosphere_horizontal_streamfunction;m2 s-1;;;;
atmosphere_horizontal_velocity_potential;m2 s-1;;;;
atmosphere_hybrid_height_coordinate;m;;;;
atmosphere_hybrid_sigma_pressure_coordinate;1;;;;
atmosphere_kinetic_energy_content;J m-2;;;;
atmosphere_layer_thickness_expressed_as_geopotential_height_difference;m;;;;
atmosphere_level_of_free_convection;m;;;;
atmosphere_level_of_free_convection_wrt_surface;m;;;;
atmosphere_lifting_condensation_level;m;;;;
atmosphere_lifting_condensation_level_wrt_surface;m;;;;
atmosphere_ln_pressure_coordinate;1;;;;
atmosphere_mass_content_of_acetic_acid;kg m-2;;;;
atmosphere_mass_content_of_aceto_nitrile;kg m-2;;;;
atmosphere_mass_content_of_alkanes;kg m-2;;;;
atmosphere_mass_content_of_alkenes;kg m-2;;;;
atmosphere_mass_content_of_alpha_hexachlorocyclohexane;kg m-2;;;;
atmosphere_mass_content_of_alpha_pinene;kg m-2;;;;
atmosphere_mass_content_of_ammonia;kg m-2;;;;
atmosphere_mass_content_of_ammonium_dry_aerosol_particles;kg m-2;atmosphere_mass_content_of_ammonium_dry_aerosol;;;
atmosphere_mass_content_of_anthropogenic_nmvoc_expressed_as_carbon;kg m-2;;;;
atmosphere_mass_content_of_aromatic_compounds;kg m-2;;;;
atmosphere_mass_content_of_atomic_bromine;kg m-2;;;;
atmosphere_mass_content_of_atomic_chlorine;kg m-2;;;;
atmosphere_mass_content_of_atomic_nitrogen;kg m-2;;;;
atmosphere_mass_content_of_benzene;kg m-2;;;;
atmosphere_mass_content_of_beta_pinene;kg m-2;;;;
atmosphere_mass_content_of_biogenic_nmvoc_expressed_as_carbon;kg m-2;;;;
atmosphere_mass_content_of_bromine_chloride;kg m-2;;;;
atmosphere_mass_content_of_bromine_monoxide;kg m-2;;;;
atmosphere_mass_content_of_bromine_nitrate;kg m-2;;;;
atmosphere_mass_content_of_brox_expressed_as_bromine;kg m-2;;;;
atmosphere_mass_content_of_butane;kg m-2;;;;
atmosphere_mass_content_of_carbon_dioxide;kg m-2;;;;
atmosphere_mass_content_of_carbon_monoxide;kg m-2;;;;
atmosphere_mass_content_of_carbon_tetrachloride;kg m-2;;;;
