# FIELDS:
# 1. Newbase-id
# 2. Newbase-name
# 3. FMI Name (without conversion)

1;Pressure;P-HPA
2;GeopHeight;ZH-GPM
3;GeomHeight;HL-M
4;Temperature;T-C
5;MaximumTemperature;TMAX-C
6;MinimumTemperature;TMIN-C
7;TemperatureAnomaly;TemperatureAnomaly
8;PotentialTemperature;TP-C
9;PseudoAdiabaticPotentialTemperature;PseudoAdiabaticPotentialTemperature
10;DewPoint;TD-C
11;DewPointDeficit;DPDEF-C
12;SpecificHumidity;Q-KGKG
13;Humidity;RH-PRCNT
14;MixingRatio;MixingRatio
15;StabilityIndex;StabilityIndex
16;SaturationDeficit;SaturationDeficit
17;TopoGraf;TopoGraf
19;TotalWindMS;TotalWindMS
20;WindDirection;DD-D
21;WindSpeedMS;FF-MS
22;WindVectorMS;DF-MS
23;WindUMS;U-MS
24;WindVMS;V-MS
25;WindGustU;WGU-MS
26;WindGustV;WGV-MS
28;HeightMinus20C;HM20C-M
29;StreamFunction;StreamFunction
30;VorticityRelative;VorticityRelative
31;VorticityAbsolute;ABSVO-HZ
32;VorticityAdvectionRelative;VorticityAdvectionRelative
33;VorticityAdvectionAbsolute;VorticityAdvectionAbsolute
34;VelocityDivergenceHoriz;VelocityDivergenceHoriz
35;MoistureDivergenceHoriz;MoistureDivergenceHoriz
36;VorticityGeostrophic;VorticityGeostrophic
37;VorticityAdvectionGeostr;VorticityAdvectionGeostr
39;VelocityPotential;VV-PAS
40;VerticalVelocityCBS;VerticalVelocityCBS
41;VerticalVelocityCB12H;VerticalVelocityCB12H
42;VerticalVelocityHPAH;VerticalVelocityHPAH
43;VerticalVelocityMMS;VV-MMS
44;WindShearMS;WSH-MS
45;WindShearKT;WSH-KT
46;LapseRate;LR-KM
47;PrecipitableWater;TOTCWV-KGM2
48;PrecipitationConv;RRC-KGM2
49;PrecipitationRate;RRR-KGM2
50;PrecipitationAmount;RR-KGM2
51;SnowDepth;SD-M
52;RadiationOutLW;RadiationOutLW
53;RadiationOutSW;RadiationOutSW
54;RadiationInSW;RadiationInSW
55;PrecipitationLarge;RRI-KGM2
56;PrecipitationType;PRECTYPE-N
57;PrecipitationForm;PRECFORM-N
58;GolfIndex;GolfIndex
59;CAPE;CAPE-JKG
60;SeaLevel;SSH-M
61;TemperatureSea;TSEA-C
62;Salinity;SAL-PSU
63;Density;RHO-KGM3
64;SeaLevelMinimum;F0-WATLEV-CM
65;SeaLevelMaximum;F100-WATLEV-CM
66;CIN;CIN-JKG
67;Helicity;HLCY-M2S2
68;LCL;LCL-M
69;LNB;LNB
70;EDR;CAT-M23S
79;TotalCloudCover;N-PRCNT
80;KIndex;KINDEX-N
81;RoadT1Derivative;RoadT1Derivative
82;RoadT2Derivative;RoadT2Derivative
83;FreezingPoint1;FreezingPoint1
84;FreezingPoint2;FreezingPoint2
85;Conductivity1;Conductivity1
86;Conductivity2;Conductivity2
87;SensorFault;SensorFault
88;SaltSpread1;SaltSpread1
89;SaltSpread2;SaltSpread2
90;SaltConcentration1;SaltConcentration1
91;SaltConcentration2;SaltConcentration2
92;RoadStatus;RoadStatus
93;Friction3;FRICTION-N
94;WaterContent;WaterContent
95;SnowContent;SnowContent
96;IceContent;IceContent
101;Thickness;Thickness
102;WaterTemperature;WaterTemperature
106;RadarPrecipitation1h;RadarPrecipitation1h
107;RadarPrecipitation1d;RadarPrecipitation1d
108;RadarBorder;RadarBorder
109;RadarProducer;RadarProducer
110;RadarParameter;RadarParameter
111;RadarLevelType;RadarLevelType
112;ElevationAngle;ElevationAngle
113;CAPPIHeight;CAPPIHeight
114;RadarRadius;RadarRadius
115;RadarLayer;RadarLayer
116;AzimuthalLayer;AzimuthalLayer
117;CrossSectionDirection;RADGLOA-JM2
118;AccumulationTime;AccumulationTime
119;MindBZ;MindBZ
120;MinRange;MinRange
121;MaxRange;MaxRange
122;ColumnNumber;ColumnNumber
123;RowNumber;RowNumber
124;HorizontalResolution;HorizontalResolution
125;ZResolution;ZResolution
126;CorrectedReflectivity;REFLTY-DBZ
127;EchoTop;EchoTop
128;RainfallDepth;RainfallDepth
129;RawRadarData;RawRadarData
130;RadialWind;RadialWind
131;WindAndReflectivity;WindAndReflectivity
132;MaxLayerHeight;MaxLayerHeight
133;MaxElevation;MaxElevation
134;ProjectionID;ProjectionID
135;GridOrientation;GridOrientation
139;VelocityPotentialM2S;VelocityPotentialM2S
140;VerticalVelocityHPAS;VerticalVelocityHPAS
141;VerticalVelocityDPAS;VerticalVelocityDPAS
#### VerticalVelocityMS : VV-MS(MUL{$,1000.000000})
143;VerticalVelocityMS;VerticalVelocityMS
144;WindShearMS2;WindShearMS2
145;LogNatOfPressure;LNSP-N
146;LapseRate2;LapseRate2
147;PrecipitableWater2;PrecipitableWater2
148;PrecipitationRate2;PrecipitationRate2
150;PrecipitationAmount2;PrecipitationAmount2
151;SnowDepth2;SnowDepth2
152;RadiationOutLW2;RadiationOutLW2
153;RadiationOutSW2;RadiationOutSW2
154;RadiationInSW2;RadiationInSW2
155;BatteryVoltage;BatteryVoltage
159;SeaLevelN2000;WATLEV-N2000-CM
160;SeaLevelAnomaly;SeaLevelAnomaly
161;TemperatureSea2;TemperatureSea2
162;TemperatureSeaSurface;TSEA-C
163;CurrentSpeed;FCUR-MS
164;CurrentDirection;DCUR-D
165;SigWaveHeight;HWS-M
166;SigWavePeriod;SigWavePeriod
167;WaveDirection;DW-D
168;WaveSpread;WaveSpread
169;MaxWaveHeight;HMAX-M
170;MaxWavePeriod;PWMAX-S
171;WavePeriod;PW-S
172;SigWaveHeightBandB;HWS-B-M
173;SigWavePeriodBandB;PWS-BAVE-S
174;WaveDirectionBandB;DW-BAVE-D
175;SigWaveHeightBandC;HWS-C-M
176;SigWavePeriodBandC;PWS-CAVE-S
177;WaveDirectionBandC;DW-CAVE-D
178;UnidirectivityIndex;UnidirectivityIndex
179;SigWaveLength;LWS-M
180;MixedLayerDepth;MIXHGT-M
181;SigWaveHeightSwell0;SW0WH-M
182;SigWaveHeightSwell1;SW1WH-M
183;SigWaveHeightSwell2;SW2WH-M
184;SigWavePeriodSwell0;SW0WPER-S
185;SigWavePeriodSwell1;SW1WPER-S
186;SigWavePeriodSwell2;SW2WPER-S
187;WaveDirectionSwell0;SW0WDIR-D
188;WaveDirectionSwell1;SW1WDIR-D
189;WaveDirectionSwell2;SW2WDIR-D
190;SeaSprayIcing;SeaSprayIcing
191;NO2Contents;NO2Contents
192;COContents;COContents
193;SO2Contents;SO2Contents
194;AQIndex;AQI-N
195;SmogIndex;SMOGI-N
196;UVIndexMax;UVIndexMax
197;UVIndex;UVIndex
198;OzoneAnomaly;O3ANOM-PRCNT
200;PrecipitationRateLarge;RRRL-KGM2
201;PrecipitationRateConv;RRRC-KGM2
202;PressureReduced;PressureReduced
203;PressureTendency;PressureTendency
204;NOContents;NOContents
205;O3Contents;O3Contents
206;PM10Contents;PM10Contents
207;PM25Contents;PM25Contents
212;TemperatureVirtual;TemperatureVirtual
220;SnowWarning;SnowWarning
221;HardPackedSnowIndex;HardPackedSnowIndex
226;PressureAnomaly;PressureAnomaly
227;GeopotentialHeightAnomaly;GeopotentialHeightAnomaly
235;SkinTemperature;SkinTemperature
236;FeelsLike;FeelsLike
237;GeoMagneticRIndex;GeoMagneticRIndex
239;OpenLandSnowDepth;OpenLandSnowDepth
240;TOL;TOL
241;QOL;QOL
242;DivergenceAbsolute;DivergenceAbsolute
244;DivergenceRelative;DivergenceRelative
245;WindShearU;WindShearU
246;WindShearV;WindShearV
255;VapourPressure;VapourPressure
256;DragCoefficient;DragCoefficient
257;Evaporation;EVAP-KGM2
259;PoP;POP-PRCNT
260;ProbabilityThunderstorm;POT-PRCNT
261;FlashAccuracy;FlashAccuracy
262;FlashMultiplicity;FL-MPLTY-N
263;FlashStrength;FlashStrength
264;SnowfallRate;SNR-KGM2
265;SnowAccumulation;SNACC-KGM2
266;WaterEquivalentOfSnow;SD-KGM2
267;WaterAccumulation;GRI-KGM2
268;SnowWaterRatio;SnowWaterRatio
269;PrecipitationAccumulation;PrecipitationAccumulation
270;FreezingLevel;HL-M
271;MiddleAndLowCloudCover;NLM-PRCNT
272;ConvectiveCloudCover;NC-PRCNT
273;LowCloudCover;NL-PRCNT
274;MediumCloudCover;NM-PRCNT
275;HighCloudCover;NH-PRCNT
276;CloudWater;CLDWAT-KGKG
278;ConvectiveSnow;SNC-KGM2
279;LargeScaleSnow;SNL-KGM2
281;LandSeaMask;LC-0TO1
282;ForestFraction;ForestFraction
283;SurfaceRoughness;SR-M
284;Albedo;ALBEDO-0TO1
285;SoilTemperature;TSOIL-C
286;SoilMoistureContent;SM-KGM2
287;Vegetation;Vegetation
288;GroundTemperature;TG-C
289;SurfaceSoilWetness;SurfaceSoilWetness
290;LocationId;LocationId
291;Year;Year
292;Month;Month
293;Day;Day
294;Hour;Hour
295;Minute;Minute
296;Second;Second
297;ForecastPeriod;ForecastPeriod
298;ModelLevel;ModelLevel
299;CloudCondensate;CLDCND-KGKG
301;TurbulentKineticEnergy;TKEN-JKG
305;FlashLength;FlashLength
306;FlashWidth;FlashWidth
307;FlashDirection;FlashDirection
308;FlashDuration;FlashDuration
311;RadiationNetSurfaceSW;RNETSW-WM2
312;RadiationNetSurfaceLW;RNETLW-WM2
313;RadiationNetTopAtmSW;RadiationNetTopAtmSW
314;RadiationNetTopAtmLW;RTOPLW-WM2
315;RadiationLW;RADLW-WM2
316;RadiationSW;RADSW-WM2
317;RadiationGlobal;RADGLO-WM2
318;RadiationReflected;RDIFSW-WM2
319;RadiationDownLWClearSky;RADLWC-WM2
321;LatentHeatFlux;FLLAT-JM2
322;SensibleHeatFlux;FLSEN-JM2
323;BoundaryLayerDissipation;BoundaryLayerDissipation
324;UMomentumFlux;UFLMOM-NM2
325;VMomentumFlux;VFLMOM-NM2
326;WeatherAndCloudiness;WeatherAndCloudiness
327;FogIntensity;FOGINT-N
328;CloudSymbol;CLDSYM-N
329;LowCloudSymbol;LowCloudSymbol
330;MediumCloudSymbol;MediumCloudSymbol
331;HighCloudSymbol;HighCloudSymbol
332;ConvCloudSymbol;ConvCloudSymbol
333;FrontSymbol;FRNTSYM-N
334;FogSymbol;FOGSYM-N
335;SmogSymbol;SmogSymbol
336;WeatherSymbol1;HSADE1-N
337;WeatherSymbol2;WeatherSymbol2
338;WeatherSymbol3;HESSAA-N
339;SimpleWeather;SimpleWeather
340;WindSpeedGeostr;WindSpeedGeostr
341;WindSpeed10M;WindSpeed10M
342;WindDirection10M;WindDirection10M
343;Temperature2M;Temperature2M
344;DewPoint2M;DewPoint2M
345;Humidity2M;Humidity2M
346;WindUMS10M;WindUMS10M
347;WindVMS10M;WindVMS10M
348;ShipDirection;ShipDirection
349;ShipSpeed;ShipSpeed
350;WeatherSymbol;ILSAA1-N
351;ChillFactor;ChillFactor
352;DegreeDays;DegreeDays
353;Precipitation1h;RRR-KGM2
354;Precipitation3h;RR-3-MM
355;Precipitation6h;RR-6-MM
356;Precipitation12h;RR-12-MM
357;Precipitation24h;RR-24-MM
358;MaximumTemperature24h;TMAX-24-C
359;MinimumTemperature24h;TMIN-24-C
360;MaximumTemperature2m;MaximumTemperature2m
361;MinimumTemperature2m;MinimumTemperature2m
362;MinimumWind;MinimumWind
363;Precipitation4h;Precipitation4h
364;CloudTopBrightnessTemperature;CloudTopBrightnessTemperature
365;WaterVapourBrightnessTemperature;WaterVapourBrightnessTemperature
366;WaterVapourBrightnessTemperatureIncludingCloudCorrection;WaterVapourBrightnessTemperatureIncludingCloudCorrection
367;MaximumIcingIndex;MaximumIcingIndex
368;CloudWaterReflectivity;CloudWaterReflectivity
370;SatoKierto;SatoKierto
372;FrostProbability;PROB-FROST-1
373;SevereFrostProbability;PROB-FROST-2
378;ConvectiveSnowFallRate;SNRC-KGM2
379;LargeScaleSnowFallRate;SNRL-KGM2
380;ConvectiveAvailablePotentialEnergy;ConvectiveAvailablePotentialEnergy
381;Roughness;SRMOM-M
382;StormRelativeHelicity;StormRelativeHelicity
383;SurfaceRoughnessAtSea;SurfaceRoughnessAtSea
384;IceConcentration;ICNCT-PRCNT
385;IceThickness;ITHK-CM
386;IceMinThickness;IMINTHK-CM
387;IceMaxThickness;IMAXTHK-CM
388;IceDegreeOfRidging;IRIDGE-PRCNT
389;IceSpeed;IFF-MS
390;IceDirection;IDD-D
392;CanopyWater;CANW-KGM2
393;GroundFrost;GroundFrost
394;SurfaceTypeFraction;SurfaceTypeFraction
395;SoilType;SOILTY-N
396;GroundWaterLevel;IVELU-MS
397;GroundWaterLevelIndex;IVELV-MS
399;VegetationType;VEGET-N
400;ForecasterCode;ForecasterCode
401;WmoBlockNumber;WmoBlockNumber
402;Wmo;Wmo
403;StationType;StationType
404;Lat;Lat
405;Lon;Lon
406;PressureChange;PressureChange
407;Visibility;VV-M
408;PresentWeather;WW-N
409;PastWeather1;PastWeather1
410;PastWeather2;PastWeather2
411;LowCloudType;LowCloudType
412;MiddleCloudType;MiddleCloudType
413;HighCloudType;HighCloudType
414;CloudHeight;H-M
415;PrecipitationPeriod;PrecipitationPeriod
416;MaximumWind;MaximumWind
417;WindGust;FFG-MS
418;OldVisibility;OldVisibility
419;VisibilityChange;VisibilityChange
420;RainOnOff;RainOnOff
421;SunOnOff;SunOnOff
422;WetnessOnOff;WetnessOnOff
423;RainMinutes;RainMinutes
424;StateOfGround;STGR-N
425;SnowDepth06;SnowDepth06
426;SnowDepth18;SnowDepth18
427;DailyMeanTemperature;DailyMeanTemperature
428;MinimumTemperature06;FLMOM-PA
429;MaximumTemperature06;MaximumTemperature06
430;MinimumGroundTemperature06;TGMIN06-C
431;MinimumTemperature18;MinimumTemperature18
432;MaximumTemperature18;MaximumTemperature18
433;MonthlyMeanTemperature;MonthlyMeanTemperature
434;MonthlyPrecipitation;MonthlyPrecipitation
435;SunHours;SunHours
436;DailyGlobalRadiation;DailyGlobalRadiation
437;DailyDiffuseRadiation;DailyDiffuseRadiation
438;DailyReflectedRadiation;DailyReflectedRadiation
439;DailyNetRadiation;DailyNetRadiation
440;PrecipitationReliability;PrecipitationReliability
441;TotalOzone;TOZONE-KGM2
442;UVCumulated;UVI-N
443;UVMaximum;UVIMAX-N
444;TimeOfUVMaximum;TimeOfUVMaximum
445;DailyPrecipitationCode;DailyPrecipitationCode
446;HourlySunShine;HourlySunShine
447;HourlyGlobalRadiation;HourlyGlobalRadiation
448;HourlyDiffuseRadiation;HourlyDiffuseRadiation
449;HourlyReflectedRadiation;HourlyReflectedRadiation
450;HourlyNetRadiation;HourlyNetRadiation
451;MonthlyMeanPrecipitation3160;MonthlyMeanPrecipitation3160
452;MonthlyMeanTemperature3160;MonthlyMeanTemperature3160
453;MonthlyMeanCloudiness3160;MonthlyMeanCloudiness3160
454;Monthly15SnowDepth3160;Monthly15SnowDepth3160
455;MonthlyMeanPrecipitation6190;MonthlyMeanPrecipitation6190
456;MonthlyMeanTemperature6190;MonthlyMeanTemperature6190
457;MonthlyMeanCloudiness6190;MonthlyMeanCloudiness6190
458;Monthly15SnowDepth6190;Monthly15SnowDepth6190
459;HourlyPressure;HourlyPressure
460;HourlyTemperature;HourlyTemperature
461;HourlyMinimumTemperature;HourlyMinimumTemperature
462;HourlyMaximumTemperature;HourlyMaximumTemperature
463;HourlyRelativeHumidity;HourlyRelativeHumidity
464;HourlyWindSpeed;HourlyWindSpeed
465;HourlyMinimumWindSpeed;HourlyMinimumWindSpeed
466;HourlyMaximumWindSpeed;HourlyMaximumWindSpeed
467;HourlyMaximumGust;FFG-MS
468;HourlyWindDirection;HourlyWindDirection
469;HourlyMaxRainIntensity;HourlyMaxRainIntensity
470;RainIntensityWeather;RainIntensityWeather
471;HourlyWaterTemperature;HourlyWaterTemperature
472;PressureAtStationLevel;PressureAtStationLevel
473;Precipitation06;Precipitation06
474;Precipitation18;Precipitation18
475;FlAltitude;FlAltitude
476;PhaseOfFlight;PhaseOfFlight
477;Turbulence;Turbulence
478;BaseOfTurbulence;BaseOfTurbulence
479;TopOfTurbulence;TopOfTurbulence
480;Icing;ICING-N
481;StdDevTotalCloud;StdDevTotalCloud
482;TemperatureHighCld;TemperatureHighCld
483;StdDevHighCld;StdDevHighCld
484;TemperatureLMCld;TemperatureLMCld
485;StdDevLMCld;StdDevLMCld
486;FogPercentage;FogPercentage
487;LandPercentage;LandPercentage
488;SeaPercentage;SeaPercentage
489;SnowPercentage;FSNO-PRCNT
490;SunGlintPercentage;SunGlintPercentage
491;IR;IR
492;VIS;VIS
493;WV;WV
494;CH112;CH112
495;Precipitation7Days;PREC7D-KGM2
496;Precipitation10Days;PREC10-KGM2
497;Precipitation30Days;PREC30-KGM2
498;SunSeconds;SunSeconds
499;HaKeTaskCode;HaKeTaskCode
500;CloudBase;CLDBASE-M
501;1CloudCover;1CloudCover
502;1CloudBase;1CloudBase
503;2CloudCover;2CloudCover
504;2CloudBase;2CloudBase
505;3CloudCover;3CloudCover
506;3CloudBase;3CloudBase
507;4CloudCover;4CloudCover
508;4CloudBase;4CloudBase
509;CbCloudCover;CB-PRCNT
510;CbCloudBase;CB-FT
511;SolarElevation;SolarElevation
513;CloudCeilingHFT;CloudCeilingHFT
514;WindGustKT;FFG-MS-KT
515;AviVis;AviVis
516;VerVis;VerVis
517;WindSpeedKT;FF-MS-KT
518;HourlyMaximumGustKT;FFG-MS-KT
519;WindVectorKT;DF-KT
520;WeatherSymbolTaf;WeatherSymbolTaf
521;AviationWeather1;AviationWeather1
522;AviationWeather2;AviationWeather2
523;AviationWeather3;AviationWeather3
524;PackedAviationCloud1;PackedAviationCloud1
525;PackedAviationCloud2;PackedAviationCloud2
526;PackedAviationCloud3;PackedAviationCloud3
527;PackedAviationCloud4;PackedAviationCloud4
530;LandCover;LandCover
531;GrassFireIndex;GrassFireIndex
532;IceCover;IC-0TO1
533;DeepSoilTemperature;TSOILD-C
534;DeepSoilMoistureContent;DeepSoilMoistureContent
535;ForestGroundHumidity;HUMFOR-0TO1
