1;p;Pressure;Pa
2;;Pressure reduced to MSL;Pa
3;;Pressure tendency;Pa s-1
4;pv;Potential vorticity;K m2 kg-1 s-1
5;;ICAO Standard Atmosphere reference height;m
6;z;Geopotential;m2 s-2
7;gh;Geopotential height;gpm
8;h;Geometrical height;m
9;;Standard deviation of height;m
10;tco3;Total ozone;Dobson
11;t;Temperature;K
12;;Virtual temperature;K
13;;Potential temperature;K
14;;Pseudo-adiabatic potential temperature;K
15;;Maximum temperature;K
16;;Minimum temperature;K
17;;Dew-point temperature;K
18;;Dew-point depression;K
19;;K m-1
20;;Visibility;m
21;;Radar spectra (1);-
22;;Radar spectra (2);-
23;;Radar spectra (3);-
24;;Parcel lifted index (to 500 hPa);K
25;;Temperature anomaly;K
26;;Pressure anomaly;Pa
27;;Geopotential height anomaly;gpm
28;;Wave spectra (1);-
29;;Wave spectra (2);-
30;;Wave spectra (3);-
31;;Wind direction;Degree true
32;;Wind speed;m s-1
33;u;u-component of wind;m s-1
34;v;v-component of wind;m s-1
35;;Stream function;m2 s-1
36;;Velocity potential;m2 s-1
37;;Montgomery stream function;m2 s-1
38;;Sigma coordinate vertical velocity;s-1
39;w;Vertical velocity;Pa s-1
40;;Vertical velocity;m s-1
41;;Absolute vorticity;s-1
42;;Absolute divergence;s-1
43;vo;Relative vorticity;s-1
44;d;Relative divergence;s-1
45;;Vertical u-component shear;s-1
46;;Vertical v-component shear;s-1
47;;Direction of current;Degree true
48;;Speed of current;m s-1
49;;u-component of current;m s-1
50;;v-component of current;m s-1
51;q;Specific humidity;kg kg-1
52;r;Relative humidity;%
53;;Humidity mixing ratio;kg kg-1
54;;Precipitable water;kg m-2
55;;Vapor pressure;Pa
56;;Saturation deficit;Pa
57;e;Evaporation;kg m-2
58;ciwc;Cloud ice;kg m-2
59;;Precipitation rate;kg m-2 s-1
60;;Thunderstorm probability;%
61;tp;Total precipitation;kg m-2
62;lsp;Large scale precipitation;kg m-2
63;;Convective precipitation;kg m-2
64;;Snowfall rate water equivalent;kg m-2 s-1
65;sf;Water equivalent of accumulated snow depth;kg m-2
66;sd;Snow depth;m
67;;Mixed layer depth;m
68;;Transient thermocline depth;m
69;;Main thermocline depth;m
70;;Main thermocline anomaly;m
71;tcc;Total cloud cover;%
72;ccc;Convective cloud cover;%
73;lcc;Low cloud cover;%
74;mcc;Medium cloud cover;%
75;hcc;High cloud cover;%
76;clwc;Cloud water;kg m-2
77;;Best lifted index (to 500 hPa);K
78;csf;Convective snow-fall;kg m-2
79;lsf;Large scale snow-fall;kg m-2
80;;Water temperature;K
81;lsm;Land cover (1 = land, 0 = sea);0/1
82;;Deviation of sea level from mean;m
83;sr;Surface roughness;m
84;al;Albedo;%
85;st;Soil temperature;K
86;ssw;Soil moisture content;kg m-2
87;veg;Vegetation;%
88;;Salinity;kg kg-1
89;;Density;kg m-3
90;ro;Water run-off;kg m-2
91;;Ice cover;(1 = ice, 0 = no ice) Proportion
92;;Ice thickness;m
93;;Direction of ice drift;Degree true
94;;Speed of ice drift;m s-1
95;;u-component of ice drift;m s-1
96;;v-component of ice drift;m s-1
97;;Ice growth rate;m s-1
98;;Ice divergence;s-1
99;;Snow melt;kg m-2
100;swh;Significant height of combined wind waves and swell;m
101;mdww;Direction of wind waves;Degree true
102;shww;Significant height of wind waves;m
103;mpww;Mean period of wind waves;s
104;;Direction of swell waves;Degree true
105;;Significant height of swell waves;m
106;;Mean period of swell waves;s
107;mdps;Primary wave direction;Degree true
108;mpps;Primary wave mean period;s
109;;Secondary wave direction;Degree true
110;;Secondary wave mean period;s
111;;Net short-wave radiation flux (surface);W m-2
112;;Net long-wave radiation flux (surface);W m-2
113;;Net short-wave radiation flux (top of atmosphere);W m-2
114;;Net long-wave radiation flux (top of atmosphere);W m-2
115;;Long-wave radiation flux;W m-2
116;;Short-wave radiation flux;W m-2
117;;Global radiation flux;W m-2
118;;Brightness temperature;K
119;;Radiance (with respect to wave number);W m-1 sr-1
120;;Radiance (with respect to wave length);W m-3 sr-1
121;slhf;Latent heat flux (surface);W m-2
122;sshf;Sensible heat flux (surface);W m-2
123;bld;Boundary layer dissipation;W m-2
124;;Momentum flux u-component;N m-2
125;;Momentum flux v-component;N m-2
126;;Wind mixing energy;J
127;;Image data;	
